地区,确诊,治愈,死亡
14411确诊病例昨日+2590,19544疑似病例昨日+1556,336治愈病例昨日+85,304死亡病例昨日+45

湖北,9074,215,294
浙江,661,23,-
广东,604,14,-
河南,493,4,2
湖南,463,11,-
安徽,340,5,-
江西,333,10,-
重庆,262,4,1
江苏,236,6,-
四川,231,3,1
山东,225,5,-
北京,183,9,1
上海,177,10,1
福建,159,-,-
陕西,116,-,-
广西,111,2,-
河北,104,3,1
黑龙江,95,2,2
云南,93,3,-
辽宁,64,1,-
海南,63,1,1
山西,56,1,-
天津,45,-,-
甘肃,40,-,-
贵州,38,2,-
宁夏,28,-,-
内蒙古,27,1,-
吉林,23,1,-
新疆,21,-,-
香港,14,-,-
青海,11,-,-
台湾,10,-,-
澳门,7,-,-
西藏,1,-,-
145确诊病例昨日+NaN,12治愈病例昨日+NaN,1死亡病例昨日+NaN

日本,20,1,-
泰国,19,7,-
新加坡,18,-,-
韩国,15,-,-
澳大利亚,12,2,-
德国,8,-,-
美国,8,-,-
马来西亚,8,-,-
越南,6,-,-
法国,6,-,-
阿联酋,5,-,-
加拿大,4,1,-
俄罗斯,2,-,-
英国,2,-,-
意大利,2,-,-
菲律宾,2,-,1
西班牙,1,-,-
瑞典,1,-,-
印度,1,-,-
安哥拉,1,-,-
芬兰,1,-,-
斯里兰卡,1,1,-
柬埔寨,1,-,-
尼泊尔,1,-,-

1,北京市（北京市）,4.24%
2,成都市（四川省）,4.14%
3,上海市（上海市）,3.16%
4,深圳市（广东省）,3.04%
5,广州市（广东省）,3.02%
6,东莞市（广东省）,1.96%
7,西安市（陕西省）,1.57%
8,苏州市（江苏省）,1.53%
9,长沙市（湖南省）,1.51%
10,佛山市（广东省）,1.41%
