地区,确诊,治愈,死亡
武汉,4109,123,224
黄冈,1002,17,15
孝感,749,-,14
襄阳,441,-,-
随州,384,-,3
宜昌,353,-,1
荆州,333,-,4
荆门,329,-,7
鄂州,278,-,13
黄石,252,1,2
咸宁,246,1,-
十堰,212,-,-
仙桃,140,-,3
恩施,105,-,-
天门,99,-,7
潜江,35,-,1
神农架地区,7,-,-
温州,265,10,-
杭州,110,2,-
台州,100,4,-
宁波,66,1,-
金华,34,3,-
绍兴,27,1,-
嘉兴,19,-,-
丽水,14,1,-
衢州,13,-,-
舟山,7,1,-
湖州,6,-,-
深圳,196,5,-
广州,175,3,-
珠海,41,1,-
佛山,39,1,-
东莞,27,-,-
惠州,23,1,-
中山,21,-,-
湛江,14,1,-
汕头,14,-,-
阳江,10,-,-
肇庆,7,1,-
清远,6,1,-
揭阳,6,-,-
梅州,6,-,-
韶关,5,-,-
汕尾,4,-,-
茂名,3,-,-
江门,3,-,-
潮州,3,-,-
河源,1,-,-
信阳,88,-,-
郑州,65,2,-
南阳,62,-,2
驻马店,46,-,-
周口,40,-,-
商丘,36,-,-
安阳,24,-,-
新乡,21,-,-
漯河,16,-,-
平顶山,14,-,-
许昌,13,-,-
开封,11,-,-
鹤壁,8,-,-
三门峡,7,-,-
洛阳,7,-,-
焦作,7,-,-
濮阳,3,-,-
长沙,112,2,-
岳阳,53,-,-
邵阳,49,1,-
常德,42,-,-
怀化,31,1,-
衡阳,30,-,-
娄底,29,1,-
益阳,27,-,-
株洲,25,-,-
永州,22,2,-
郴州,18,1,-
湘潭,16,-,-
湘西州,6,-,-
张家界,3,-,-
合肥,59,2,-
阜阳,59,-,-
安庆,43,-,-
亳州,30,2,-
马鞍山,27,-,-
蚌埠,26,-,-
芜湖,16,-,-
铜陵,16,-,-
宿州,14,-,-
六安,13,1,-
黄山,9,-,-
淮北,6,-,-
池州,6,-,-
滁州,6,-,-
淮南,6,-,-
宣城,4,-,-
南昌,89,1,-
九江,55,-,-
新余,43,3,-
赣州,34,1,-
宜春,31,1,-
抚州,24,-,-
上饶,19,1,-
萍乡,15,1,-
吉安,12,1,-
鹰潭,8,-,-
景德镇,3,1,-
万州区,39,-,-
云阳县,18,-,-
开州区,16,-,-
江北区,13,-,-
两江新区,12,-,-
渝北区,12,-,-
忠县,12,-,-
九龙坡区,11,-,1
巫溪县,11,-,-
垫江县,11,-,-
石柱县,10,-,-
长寿区,10,-,-
渝中区,9,-,-
奉节县 ,8,-,-
璧山区,8,-,-
合川区,8,-,-
巫山县,6,1,-
大渡口区,6,-,-
丰都县,5,1,-
大足区,4,-,-
南岸区,4,-,-
綦江区,4,-,-
铜梁区,4,-,-
永川区,3,-,-
江津区 ,3,-,-
潼南区,2,-,-
梁平区,2,-,-
黔江区,2,-,-
荣昌区,2,-,-
沙坪坝,2,-,-
武隆区,1,-,-
秀山县,1,1,-
涪陵区,1,-,-
城口县,1,-,-
巴南区,1,-,-
待确认,-,1,-
苏州,38,2,-
南京,35,2,-
徐州,30,-,-
无锡,19,-,-
泰州,17,-,-
南通,17,-,-
盐城,15,-,-
常州,15,-,-
